iter	RMSE
394	0.7795654154
395	0.779400207
396	0.7792604462
397	0.7790514802
398	0.7788588427
399	0.7786082032
400	0.7784118494
401	0.7782076631
402	0.7778897568
403	0.7777005641
404	0.7774371406
405	0.7772579244
406	0.7770676028
407	0.7768759909
408	0.7765895212
409	0.7764329612
410	0.7762737062
411	0.7759926429
412	0.7758267558
413	0.7756038334
414	0.7754300153
415	0.7752919474
416	0.7751316215
417	0.7749486612
418	0.7748409603
419	0.7745593292
420	0.774431159
421	0.7742404533
422	0.7740302611
423	0.7738112385
424	0.7735849494
425	0.7734267167
426	0.7732561902
427	0.7729964366
428	0.7728526684
429	0.7726771078
430	0.7723568929
431	0.7720168181
432	0.7717581018
433	0.7715186391
434	0.771363775
435	0.7712095414
436	0.7710358691
437	0.7709124384
438	0.7707427335
439	0.770566652
440	0.770369524
441	0.7701842506
442	0.7700262731
443	0.7698353779
444	0.7696451065
445	0.7694261022
446	0.7691644345
447	0.7689374051
448	0.7687183657
449	0.7685440942
450	0.7682708189
451	0.767997595
452	0.7678282627
453	0.7676162662
454	0.7673367014
455	0.7671970971
456	0.7670068904
457	0.7667228195
458	0.7665449154
459	0.7664153117
460	0.7662186359
461	0.7659355172
462	0.7658217109
463	0.7656563209
464	0.7654286427
465	0.7652960193
466	0.765155149
467	0.765045965
468	0.7647762121
469	0.7645432057
470	0.7644312388
471	0.7642162626
472	0.7640833347
473	0.7638518399
474	0.763619972
475	0.7633971949
476	0.7631857624
477	0.7629437574
478	0.7627495018
479	0.7626653444
480	0.7625370094
481	0.7622301211
482	0.7621303524
483	0.761928457
484	0.7618033674
485	0.7616114242
486	0.7614116605
487	0.7611763233
488	0.7609860872
489	0.7606187533
490	0.7603365084
491	0.7601614656
492	0.7599538458
493	0.7596581996
494	0.7595817302
495	0.7592987708
496	0.7590549852
497	0.7589058818
498	0.7586222161
499	0.758472404
